UrchinID,Tank,Treatment,Date,Week,Weight_g,min,sec,Righting_time,Colour,ExpPhase,Tag,Notes
11,3,27,25/05/2026,4,,1,25,85,Light,Exp,,
12,3,27,25/05/2026,4,,2,23,143,Light,Exp,,
1,8,21,25/05/2026,4,,7,34,454,Light,Exp,,
2,8,21,25/05/2026,4,,2,24,144,Dark,Exp,,
3,8,21,25/05/2026,4,,2,9,129,Dark,Exp,,
4,8,21,25/05/2026,4,,10,0,600,Light,Exp,,Max
5,8,21,25/05/2026,4,,1,40,100,Light,Exp,,
6,8,21,25/05/2026,4,,2,11,131,Dark,Exp,,
7,8,21,25/05/2026,4,,2,24,144,Dark,Exp,,
8,8,21,25/05/2026,4,,1,44,104,Light,Exp,,
9,8,21,25/05/2026,4,,2,9,129,Light,Exp,,
10,8,21,25/05/2026,4,,2,44,164,Light,Exp,,
11,8,21,25/05/2026,4,,2,22,142,Dark,Exp,,
12,8,21,25/05/2026,4,,1,47,107,Dark,Exp,,
1,9,27,26/05/2026,4,,3,2,182,Light,Exp,,
2,9,27,26/05/2026,4,,1,44,104,Dark,Exp,,
3,9,27,26/05/2026,4,,2,35,155,Dark,Exp,,
4,9,27,26/05/2026,4,,1,55,115,Dark,Exp,,
5,9,27,26/05/2026,4,,5,26,326,Light,Exp,,
6,9,27,26/05/2026,4,,2,48,168,Light,Exp,,
7,9,27,26/05/2026,4,,4,,240,Dark,Exp,,
8,9,27,26/05/2026,4,,2,31,151,Dark,Exp,,
9,9,27,26/05/2026,4,,1,15,75,Dark,Exp,,
10,9,27,26/05/2026,4,,1,14,74,Dark,Exp,,
11,9,27,26/05/2026,4,,NA,NA,NA,NA,Exp,,Died
12,9,27,26/05/2026,4,,NA,NA,NA,NA,Exp,,
1,10,21,26/05/2026,4,,4,49,289,Light,Exp,,
2,10,21,26/05/2026,4,,1,26,86,Light,Exp,,
3,10,21,26/05/2026,4,,4,2,242,Light,Exp,,
4,10,21,26/05/2026,4,,1,17,77,Dark,Exp,,
5,10,21,26/05/2026,4,,1,31,91,Light,Exp,,
6,10,21,26/05/2026,4,,1,38,98,Dark,Exp,,
7,10,21,26/05/2026,4,,2,23,143,Light,Exp,,
8,10,21,26/05/2026,4,,1,13,73,Light,Exp,,
9,10,21,26/05/2026,4,,1,50,110,Dark,Exp,,
10,10,21,26/05/2026,4,,2,16,136,Dark,Exp,,
11,10,21,26/05/2026,4,,2,25,145,Light,Exp,,
12,10,21,26/05/2026,4,,3,26,206,Light,Exp,,
13,10,21,26/05/2026,4,,1,37,97,Light,Exp,,
1,3,27,01/06/2026,5,,1,50,110,Dark,Exp,,
2,3,27,01/06/2026,5,,2,5,125,Light,Exp,,
3,3,27,01/06/2026,5,,1,46,106,Light,Exp,,
4,3,27,01/06/2026,5,,2,7,127,Dark,Exp,,
5,3,27,01/06/2026,5,,2,30,150,Dark,Exp,,
6,3,27,01/06/2026,5,,1,44,104,Dark,Exp,,
7,3,27,01/06/2026,5,,1,40,100,Light,Exp,,
8,3,27,01/06/2026,5,,2,29,149,Light,Exp,,
9,3,27,01/06/2026,5,,2,20,140,Dark,Exp,,
10,3,27,01/06/2026,5,,2,15,135,Light,Exp,,
11,3,27,01/06/2026,5,,1,43,103,Dark,Exp,,
12,3,27,01/06/2026,5,,2,12,132,Light,Exp,,
1,8,21,01/06/2026,5,,3,58,238,Light,Exp,,
2,8,21,01/06/2026,5,,2,36,156,Dark,Exp,,
3,8,21,01/06/2026,5,,1,37,97,Dark,Exp,,
4,8,21,01/06/2026,5,,4,19,259,Light,Exp,,
5,8,21,01/06/2026,5,,1,54,114,Light,Exp,,
6,8,21,01/06/2026,5,,1,39,99,Light,Exp,,
7,8,21,01/06/2026,5,,1,15,75,Light,Exp,,
8,8,21,01/06/2026,5,,2,45,165,Light,Exp,,
9,8,21,01/06/2026,5,,2,33,153,Light,Exp,,
10,8,21,01/06/2026,5,,3,49,229,Dark,Exp,,
11,8,21,01/06/2026,5,,2,22,142,Light,Exp,,
12,8,21,01/06/2026,5,,2,6,126,Light,Exp,,
1,9,27,02/06/2026,5,,3,5,185,Light,Exp,,
2,9,27,02/06/2026,5,,2,2,122,Light,Exp,,
3,9,27,02/06/2026,5,,1,46,106,Dark,Exp,,
4,9,27,02/06/2026,5,,1,18,78,Light,Exp,,
5,9,27,02/06/2026,5,,10,0,600,Light,Exp,,Max
6,9,27,02/06/2026,5,,3,25,205,Dark,Exp,,
7,9,27,02/06/2026,5,,1,49,109,Dark,Exp,,
8,9,27,02/06/2026,5,,2,27,147,Light,Exp,,
9,9,27,02/06/2026,5,,2,23,143,Dark,Exp,,
10,9,27,02/06/2026,5,,1,50,110,Light,Exp,,
11,9,27,02/06/2026,5,,NA,NA,NA,NA,Exp,,
12,9,27,02/06/2026,5,,NA,NA,NA,NA,Exp,,
1,10,21,02/06/2026,5,,8,46,526,Light,Exp,,
2,10,21,02/06/2026,5,,3,37,217,Dark,Exp,,
3,10,21,02/06/2026,5,,2,6,126,Light,Exp,,
4,10,21,02/06/2026,5,,2,1,121,Dark,Exp,,
5,10,21,02/06/2026,5,,2,55,175,Dark,Exp,,
6,10,21,02/06/2026,5,,2,8,128,Light,Exp,,
7,10,21,02/06/2026,5,,1,50,110,Light,Exp,,
8,10,21,02/06/2026,5,,1,11,71,Light,Exp,,
9,10,21,02/06/2026,5,,3,13,193,Dark,Exp,,
10,10,21,02/06/2026,5,,2,19,139,Light,Exp,,
11,10,21,02/06/2026,5,,1,42,102,Dark,Exp,,
12,10,21,02/06/2026,5,,4,2,242,Dark,Exp,,
13,10,21,02/06/2026,5,,4,8,248,Light,Exp,,
1,3,27,08/06/2026,6,,1,33,93,,Post,Pink,
2,3,27,08/06/2026,6,,3,50,230,,Post,Gold,
3,3,27,08/06/2026,6,,1,12,72,,Post,Red,
4,3,27,08/06/2026,6,,2,5,125,,Post,Blue,
5,3,27,08/06/2026,6,,1,32,92,,Post,Green,
6,3,27,08/06/2026,6,,1,36,96,,Post,Orange,
7,3,27,08/06/2026,6,,1,44,104,,Post,Yellow,
8,3,27,08/06/2026,6,,1,3,63,,Post,Purple,
9,3,27,08/06/2026,6,,1,55,115,,Post,Black,
10,3,27,08/06/2026,6,,1,33,93,,Post,Brown,
11,3,27,08/06/2026,6,NA,NA,NA,NA,NA,NA,,
12,3,27,08/06/2026,6,NA,NA,NA,NA,NA,NA,,
1,8,21,08/06/2026,6,,3,17,197,,Post,Black,
2,8,21,08/06/2026,6,,2,56,176,,Post,Red,
3,8,21,08/06/2026,6,,3,2,182,,Post,Orange,
4,8,21,08/06/2026,6,,1,45,105,,Post,Green,
5,8,21,08/06/2026,6,,1,20,80,,Post,Pink,
6,8,21,08/06/2026,6,,2,21,141,,Post,Blue,
7,8,21,08/06/2026,6,,1,43,103,,Post,Yellow,
8,8,21,08/06/2026,6,,1,31,91,,Post,Purple,
9,8,21,08/06/2026,6,,1,46,106,,Post,Brown,
10,8,21,08/06/2026,6,,1,35,95,,Post,Gold,
11,8,21,08/06/2026,6,NA,NA,NA,NA,NA,NA,,
12,8,21,08/06/2026,6,NA,NA,NA,NA,NA,NA,,
1,9,27,09/06/2026,6,,2,0,120,,Post,Blue,
2,9,27,09/06/2026,6,,7,0,420,,Post,Gold,
3,9,27,09/06/2026,6,,2,9,129,,Post,Green,
4,9,27,09/06/2026,6,,2,12,132,,Post,Purple,
5,9,27,09/06/2026,6,,3,49,229,,Post,Black,
6,9,27,09/06/2026,6,,2,19,139,,Post,Red,
7,9,27,09/06/2026,6,,3,46,226,,Post,Pink,
8,9,27,09/06/2026,6,,3,44,224,,Post,Orange,
9,9,27,09/06/2026,6,,2,52,172,,Post,Brown,
10,9,27,09/06/2026,6,NA,NA,NA,NA,NA,NA,,
11,9,27,09/06/2026,6,NA,NA,NA,NA,NA,NA,,
12,9,27,09/06/2026,6,NA,NA,NA,NA,NA,NA,,
1,10,21,09/06/2026,6,,2,49,169,,Post,Orange,
2,10,21,09/06/2026,6,,2,38,158,,Post,Black,
3,10,21,09/06/2026,6,,8,20,500,,Post,Gold,
4,10,21,09/06/2026,6,,10,0,600,,Post,Brown,Max
5,10,21,09/06/2026,6,,1,1,61,,Post,Purple,
6,10,21,09/06/2026,6,,4,12,252,,Post,Red,
7,10,21,09/06/2026,6,,3,46,226,,Post,Green,
8,10,21,09/06/2026,6,,10,0,600,,Post,Pink,Max
9,10,21,09/06/2026,6,,7,52,472,,Post,Yellow,
10,10,21,09/06/2026,6,,1,9,69,,Post,Blue,
11,10,21,09/06/2026,6,NA,NA,NA,NA,NA,NA,,
12,10,21,09/06/2026,6,NA,NA,NA,NA,NA,NA,,
13,10,21,09/06/2026,6,NA,NA,NA,NA,NA,NA,,
1,3,27,15/06/2026,7,,10,,600,,Post2,Yellow,
2,3,27,15/06/2026,7,,2,7,127,,Post2,Purple,
3,3,27,15/06/2026,7,,10,,600,,Post2,Gold,
4,3,27,15/06/2026,7,,10,,600,,Post2,Brown,
5,3,27,15/06/2026,7,,6,45,405,,Post2,Blue,
6,3,27,15/06/2026,7,,5,5,305,,Post2,Neon,
7,3,27,15/06/2026,7,,10,,600,,Post2,Silver,
8,3,27,15/06/2026,7,NA,NA,NA,NA,NA,NA,NA,
9,3,27,15/06/2026,7,NA,NA,NA,NA,NA,NA,NA,
10,3,27,15/06/2026,7,NA,NA,NA,NA,NA,NA,NA,
11,3,27,15/06/2026,7,NA,NA,NA,NA,NA,NA,NA,
12,3,27,15/06/2026,7,NA,NA,NA,NA,NA,NA,NA,
1,8,21,15/06/2026,7,,1,46,106,,Post2,Yellow,
2,8,21,15/06/2026,7,,2,43,163,,Post2,Orange,
3,8,21,15/06/2026,7,,2,56,176,,Post2,Brown,
4,8,21,15/06/2026,7,,3,39,219,,Post2,Red,
5,8,21,15/06/2026,7,,1,37,97,,Post2,Green,
6,8,21,15/06/2026,7,,1,44,104,,Post2,Purple,
7,8,21,15/06/2026,7,,3,8,188,,Post2,Blue,
8,8,21,15/06/2026,7,,1,26,86,,Post2,Pink,
9,8,21,15/06/2026,7,,2,33,153,,Post2,Black,
10,8,21,15/06/2026,7,,5,33,333,,Post2,Gold,
11,8,21,15/06/2026,7,NA,NA,NA,NA,NA,NA,NA,
12,8,21,15/06/2026,7,NA,NA,NA,NA,NA,NA,NA,
1,9,27,16/06/2026,7,,5,5,305,,Post2,Black,
2,9,27,16/06/2026,7,,3,55,235,,Post2,Pink,
3,9,27,16/06/2026,7,,3,50,230,,Post2,Purple,
4,9,27,16/06/2026,7,,2,54,174,,Post2,Brown,
5,9,27,16/06/2026,7,,1,10,70,,Post2,Green,
6,9,27,16/06/2026,7,,2,26,146,,Post2,Blue,
7,9,27,16/06/2026,7,,3,12,192,,Post2,Orange,
8,9,27,16/06/2026,7,,2,55,175,,Post2,Gold,
9,9,27,16/06/2026,7,,2,17,137,,Post2,Red,
10,9,27,16/06/2026,7,,NA,NA,NA,NA,NA,NA,
11,9,27,16/06/2026,7,,NA,NA,NA,NA,NA,NA,
12,9,27,16/06/2026,7,,NA,NA,NA,NA,NA,NA,
1,10,21,16/06/2026,7,,2,13,133,,Post2,Blue,
2,10,21,16/06/2026,7,,2,18,138,,Post2,Black,
3,10,21,16/06/2026,7,,5,53,353,,Post2,Brown,
4,10,21,16/06/2026,7,,10,,600,,Post2,Gold,Max
5,10,21,16/06/2026,7,,1,10,70,,Post2,Pink,
6,10,21,16/06/2026,7,,2,6,126,,Post2,Green,
7,10,21,16/06/2026,7,,6,10,370,,Post2,Yellow,
8,10,21,16/06/2026,7,,2,35,155,,Post2,Purple,
9,10,21,16/06/2026,7,,10,,600,,Post2,Red,Max
10,10,21,16/06/2026,7,,10,,600,,Post2,Orange,Max
11,10,21,16/06/2026,7,,NA,NA,NA,NA,NA,NA,
12,10,21,16/06/2026,7,,NA,NA,NA,NA,NA,NA,
13,10,21,16/06/2026,7,,NA,NA,NA,NA,NA,NA,
1,3,27,22/06/2026,8,54.94,10,,600,,Post3,Blue,Max
2,3,27,22/06/2026,8,60.1,9,26,566,,Post3,Yellow,
